42  467.874 0.975003 134.495 -0.000584059  467.316 0.943085 178.904 0.723871  467.821 0.959256 139.958 -0.593414  467.566 0.931307 125.963 0.361339  
43  467.852 0.984949 127.272 -0.0674958  467.884 0.955685 126.89 -0.210124  468.276 0.972192 120.963 0.14318  466.914 0.96164 170.924 1.74918  
44  467.931 0.978118 125.121 -0.340359  467.437 0.959911 133.056 1.43676  468.065 0.972046 126.221 0.105436  467.943 0.954232 127.17 -0.362902  
45  467.474 0.991802 160.009 -0.0945202  457.93 0.973505 125.221 -0.128382  467.915 0.977506 124.419 -0.316503  467.142 0.960251 134.838 2.13139  
46  467.683 0.965223 170.291 0.100748  467.929 0.949863 145.886 -0.941738  467.514 0.963307 175.754 0.106441  467.837 0.938271 126.295 0.410082  
47  467.867 0.973704 132.19 -0.00156413  467.928 0.952916 127.169 -0.404719  467.932 0.970815 133.425 0.188397  466.722 0.933616 129.05 2.08601  
48  467.602 0.980574 124.067 -0.421799  468.096 0.971399 131.03 -0.899215  468.066 0.97132 126.119 0.2032  467.68 0.945299 179.07 -0.00579945  
49  467.696 0.967723 165.474 0.276452  467.608 0.947817 171.081 -0.0362392  467.731 0.96586 168.914 0.0913383  467.593 0.932383 134.572 0.27274  
50  467.699 0.98349 136.838 0.0144011  467.632 0.964439 172.869 0.072662  467.747 0.966666 160.667 0.155581  467.616 0.948112 173.942 -0.0467493  
51  468.076 0.972518 130.831 0.0146957  468.102 0.950322 140.728 -1.21428  467.659 0.967814 158.398 0.377534  467.305 0.939711 140.008 1.50133  
52  467.832 0.959195 135.807 -0.682686  467.842 0.938334 122.287 0.566103  467.935 0.95697 134.784 -0.249104  467.589 0.933688 133.826 0.29765  
53  467.793 0.979431 124.698 -0.450165  467.899 0.957575 125.611 0.174299  467.645 0.95975 132.838 -0.685405  467.272 0.940277 143.283 1.24519  
54  467.574 0.980873 131.446 -0.184035  467.203 0.962942 165.662 1.06043  467.89 0.978387 123.558 -0.247335  467.967 0.957494 121.078 0.0429697  
55  467.446 0.982528 135.968 -0.0266332  467.524 0.964312 175.007 0.344948  467.803 0.965517 168.163 0.0404115  467.897 0.953319 136.555 -0.351894  
56  467.887 0.988086 131.036 -0.377954  467.806 0.972187 139.25 -0.2069  467.93 0.979041 119.643 -0.715538  466.647 0.960977 157.408 2.68351  
57  468.002 0.971235 135.016 0.17619  467.946 0.954502 128.735 -0.363345  467.781 0.963789 182.443 -0.000862468  467.492 0.948872 184.814 -0.335805  
58  467.355 0.98273 143.718 -0.00607187  467.732 0.967556 153.672 -0.00761138  467.964 0.974631 121.466 0.0137803  468.184 0.950353 131.867 -1.4598  
59  467.964 0.970289 142.258 0.402619  468.075 0.951547 141.048 -0.823589  467.565 0.968973 162.369 0.940842  467.854 0.937891 127.104 0.172178  
60  467.621 0.968545 161.16 0.574262  467.463 0.963141 177.957 0.411191  467.964 0.97034 134.591 0.380627  466.998 0.940147 132.559 2.19107  
61  467.828 0.985384 129.006 -0.0937008  467.666 0.968825 161.746 -0.10199  467.754 0.966942 160.591 0.14066  467.721 0.969712 157.591 -0.24691  
62  467.97 0.977887 121.273 -0.390406  467.411 0.962721 178.974 0.576354  468.08 0.953402 128.179 0.00601006  467.965 0.956478 124.324 -0.117796  
63  467.961 0.978736 115.845 -0.597349  467.575 0.966856 162.099 -0.020537  467.606 0.96497 176.521 0.161408  467.972 0.950085 142.868 -0.927247  
64  467.496 0.990639 154.274 -0.515344  467.353 0.945836 180.71 0.550908  467.807 0.975574 126.174 0.0158974  467.011 0.943077 179.757 1.38828  
65  467.883 0.974079 129.669 0.0244407  467.965 0.950092 146.695 -0.897114  467.906 0.969815 140.977 0.543756  467.118 0.932767 121.177 1.27414  
66  467.734 0.990045 141.136 -0.760043  467.855 0.957347 129.092 -0.010884  467.709 0.967171 161.07 0.237395  468.04 0.951308 138.522 -0.772727  
67  467.319 0.991136 172.709 -0.242683  467.468 0.963691 168.167 0.402212  467.837 0.984229 132.343 -0.0891083  467.605 0.946524 178.09 0.107104  
68  467.685 0.963939 195.311 -0.00050709  468.122 0.951235 134.936 -0.982722  467.93 0.955764 126.532 -0.150279  467.762 0.927149 123.077 -0.239149  
69  467.912 0.975037 129.56 -0.102877  468.047 0.956592 117.762 -0.164084  467.957 0.97459 127.082 -0.087107  467.433 0.94445 176.633 0.537391  
70  467.695 0.985629 131.292 -0.0949473  467.651 0.965923 171.962 -0.00628078  467.724 0.965202 175.845 0.104622  468.018 0.954778 123.069 -0.43392  
71  467.664 0.997454 155.718 0.342977  468.051 0.97078 130.874 -1.04643  467.977 0.978202 116.738 -0.447951  467.529 0.959814 138.461 1.12321  
72  467.829 0.989158 127.425 -0.834701  468.103 0.972128 125.384 -0.9361  467.924 0.988439 125.996 -0.780646  467.483 0.968182 164.445 -0.123653  
73  467.477 0.983755 133.458 0.0388281  468.131 0.951346 130.077 -0.990983  468.333 0.971884 123.042 0.155901  467.443 0.944951 169.023 0.423464  
74  467.545 0.998633 148.948 0.760106  467.531 0.965006 158.922 0.23759  467.445 0.983992 138.186 0.0564353  468.024 0.957148 120.447 -0.00794255  
75  467.862 0.975127 126.149 -0.0397492  468.074 0.952205 130.28 -0.765933  467.639 0.96765 166.904 0.398782  466.711 0.941184 172.47 2.1681  
76  467.59 0.993097 162.926 -0.0150235  467.985 0.954866 117.632 -0.382649  468.037 0.977178 113.049 -0.444061  466.475 0.961097 156.018 3.03379  
77  467.917 0.972737 135.62 0.0490308  467.272 0.961981 166.479 0.953867  467.908 0.970605 135.366 0.200546  467.432 0.944354 178.128 0.537873  
78  467.547 0.968071 160.907 0.642543  467.435 0.944366 182.391 0.432116  467.534 0.963603 178.187 0.0522669  466.724 0.940519 147.019 2.58949  
79  467.706 0.99327 170.374 -0.00511379  467.436 0.94634 179.161 0.44042  468.015 0.97251 128.694 0.0611771  466.964 0.96172 178.742 1.48416  
80  467.96 0.972377 135.654 0.0700465  467.83 0.956185 129.77 -0.126301  467.451 0.963127 179.265 0.0494354  467.021 0.931642 128.759 1.553  
81  467.561 0.990555 154.37 -0.348514  467.871 0.971872 137.747 -0.435768  467.294 0.981206 125.481 -0.484327  467.603 0.946296 177.906 0.10711  
82  467.226 0.991333 156.306 -0.321891  467.648 0.969379 145.201 -0.517575  467.864 0.979399 120.82 -0.804085  466.802 0.961653 170.856 1.92811  
83  467.75 0.996203 161.176 0.0802441  467.479 0.964629 172.035 0.436349  467.36 0.982341 139.487 -0.11037  467.796 0.936603 124.796 0.112979  
84  467.925 0.985636 122.29 -0.233597  467.752 0.969583 144.13 -0.564468  467.98 0.986787 123.971 -0.428362  467.475 0.945568 171.377 0.21137  
85  467.937 1.00101 129.542 0.162966  467.609 0.965415 152.887 0.050783  468.026 0.973832 118.837 0.0156486  467.533 0.964104 163.053 0.221168  
86  467.982 1.00446 129.681 -0.0634639  467.625 0.977421 121.75 -0.0799729  467.948 0.976679 121.82 -0.272682  467.743 0.973293 129.298 -0.313079  
87  467.807 0.977955 129.649 0.0127867  467.839 0.958523 131.173 0.236816  467.863 0.976669 121.011 0.0230292  467.605 0.94706 170.858 -0.0151146  
88  467.638 0.985649 141.801 -0.054338  467.798 0.958916 120.625 0.749631  467.93 0.976292 121.827 -0.186727  467.501 0.948563 173.998 -0.222585  
89  467.843 0.976754 122.896 -0.0527959  467.579 0.948684 174.764 -0.175396  467.707 0.964396 178.082 0.0530217  466.821 0.940335 143.397 2.49909  
